source_id,sources,source_urls
det_1049,"Kinross Gold (2017) Operations Kupol, Russia",https://www.kinross.com/operations/default.aspx#russia-kupol
det_1050,"Kinross Gold (2017) Projects & Exploration La Coipa, Chile",https://www.kinross.com/operations/default.aspx#exploration-lacoipa
det_1051,"Kinross Gold (2017) Operations Tasiast, Mauritania",https://www.kinross.com/operations/default.aspx#africa-tasiast
det_1052,"Kinross Gold (2017) Operations Chirano, Ghana",https://www.kinross.com/operations/default.aspx#africa-chirano
det_1053,Kinross Gold (2019) Annual Report 2018,https://s2.q4cdn.com/496390694/files/doc_financials/quarterly_reports/2018/q4/2018-Reserves-and-Resources.pdf
det_1054,Kinross Gold (2017) Mineral Reserves & Resources Statement 2016 ; Kinross Gold (2019) Annual Report 2018,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/Kinross-Annual-Mineral-Reserve-and-Resource-Statement.pdf ; https://s2.q4cdn.com/496390694/files/doc_financials/annual/2019/2018-Kinross-Annual-Report-Final.pdf
det_1055,Kinross Gold (2017) Mineral Reserves & Resources Statement 2012,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/kinross-gold-2012-mineral-reserves-and-resources.pdf
det_1056,Kinross Gold (2017) Mineral Reserves & Resources Statement 2007,https://s2.q4cdn.com/496390694/files/doc_downloads/reserves_and_resources/2007-reserve-resource-statements.pdf
det_1057,AngloGold Ashanti (2019) Integrated Annual Report 2018,http://www.aga-reports.com/18/download/AGA-IR18.pdf
det_1058,AngloGold Ashanti (2013) Integrated Annual Report 2012,http://www.aga-reports.com/12/ir
det_1059,AngloGold Ashanti (2014) Integrated Annual Report 2013,https://thevault.exchange/?get_group_doc=143/1502782132-2013Intergratedreport.pdf
det_1060,AngloGold Ashanti (2009) Annual Financial Statements 2008,https://www.anglogoldashanti.com/archive/annualreports/AGA-annualfinancialstatements.zip
det_1061,AngloGold Ashanti (2006) Annual Financial Statements 2005,https://www.anglogoldashanti.com/archive/annualreports/AGA-annualfinancialstatements.zip
det_1062,AngloGold Ashanti (2003) Annual Report 2002,https://www.anglogoldashanti.com/wp-content/uploads/2018/10/AngloGold-Annual-Reports-1998-2003.zip
det_1063,AngloGold Ashanti (2001) Annual Report 2000,https://www.anglogoldashanti.com/wp-content/uploads/2018/10/AngloGold-Annual-Reports-1998-2003.zip
det_1064,AngloGold Ashanti (2017) Mineral Resource and Ore Reserve Report 2018,http://www.aga-reports.com/18/download/AGA-RR18.pdf
det_1065,Rio Tinto (2019) Annual Report 2018,http://www.riotinto.com/documents/RT_2018_annual_report.pdf
det_1066,Rio Tinto (2016) Annual Report 2015,https://www.riotinto.com/documents/RT_Annual_Report_2015.pdf
det_1067,Rio Tinto (2019) Annual Report 2018,https://www.riotinto.com/invest/reports
det_1068,Rio Tinto (2010) Annual Report 2009,https://www.riotinto.com/invest/reports
det_1069,Rio Tinto (2014) Annual Report 2013,http://www.riotinto.com/documents/RT_Annual_report_2013.pdf
det_1070,Rio Tinto (2013) Annual Report 2012,https://www.riotinto.com/invest/reports
det_1071,Rio Tinto (2019) Annual Report 2018 ; Freeport-McMoRan Inc. (2020) Annual Form 10-K Report 2019,http://www.riotinto.com/documents/RT_2018_annual_report.pdf ; http://d18rn0p25nwr6d.cloudfront.net/CIK-0000831259/2c324997-2084-4e3f-a51d-a1ec3538db27.pdf
det_1072,Rio Tinto (2004) Annual Report 2003,https://ddd.uab.cat/pub/infanu/43907/iaRIOTINTOa2003ieng.pdf
det_1073,Rio Tinto (2010) Annual Report 2009,http://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_RIOA_2009.pdf
det_1074,Rio Tinto (2007) Annual Report 2006,https://bib.kuleuven.be/files/ebib/jaarverslagen/RioTinto_2006.pdf
det_1075,Rio Tinto (2007) Annual Report 2006 ; Lundin Mining Corp. Website (Zinkgruvan),https://bib.kuleuven.be/files/ebib/jaarverslagen/RioTinto_2006.pdf ; https://www.lundinmining.com/operations/zinkgruvan/
det_1076,Rio Tinto (2019) Annual Report 2018 ; Yancoal Australia Ltd. (2020) Annual Report 2020 ; Yancoal Australia Ltd. (2018) Annual Report 2018,http://www.riotinto.com/documents/RT_2018_annual_report.pdf ; https://www.yancoal.com.au/content/Document/YAL_Annual_Report_to_shareholders(1).pdf ; http://www.yancoal.com.au/content/Document/ASX%202017%20YAL%20Annual%20Report%20Published%2030%20April%202018.pdf
det_1077,Cloud Peak Energy Inc. (2019) Form 10-K Annual Report 2018,https://www.sec.gov/Archives/edgar/data/1441849/000110465919014968/a19-30091_110k.htm
det_1078,Rio Tinto (2019) Annual Report 2018 ; Rio Tinto (2010) Annual Report 2009,http://www.riotinto.com/documents/RT_2018_annual_report.pdf ; http://www.annualreports.com/HostedData/AnnualReportArchive/r/LSE_RIOA_2009.pdf
det_1079,Rio Tinto (2018) Simandou Ore Reserves and Mineral Resources 2017,http://www.riotinto.com/documents/180302_Changes_to_Simandou_Ore_Reserves_and_Mineral_Resources.pdf
det_1080,Teck Resources Limited (2019) Highland Valley Copper,https://www.teck.com/operations/canada/operations/highland-valley-copper/
det_1081,"Teck Resources Limited (2019) Anatamina, BHP Annual Report 2019",https://www.teck.com/operations/peru/operations-5619/antamina/ ; https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf
det_1082,Teck Resources Limited (2019) Carmen de Andacollo,https://www.teck.com/operations/chile/operations/carmen-de-andacollo/default
det_1083,Teck Resources Limited (2019) Quebrada Blanca,https://www.teck.com/operations/chile/operations/quebrada-blanca/
det_1084,Teck Resources Limited (2019) Trail Operations,https://www.teck.com/operations/canada/operations/trail-operations-5672/
det_1085,Teck Resources Limited (2019) Red Dog,https://www.teck.com/operations/united-states/operations/red-dog/
det_1086,Teck Resources Limited (2019) Pend Oreille,https://www.teck.com/operations/united-states/operations/pend-oreille/
det_1087,Teck Resources Limited Website (NuevaUnion),https://www.teck.com/operations/chile/projects/nuevaunion/
det_1088,Teck Resources Limited (2015) Annual Report 2014,https://www.teck.com/media/Investors-teck_2014annualreport_T5.1.1.pdf
det_1089,First Quantum Minerals Limited (2018) Annual Report 2018,https://s24.q4cdn.com/821689673/files/doc_financial/annual/FQM_2018_AR_aoda.pdf
det_1090,First Quantum Minerals Limited (2018) Annual Report 2018 ; Coble Las Cruces Website,https://s24.q4cdn.com/821689673/files/doc_financial/annual/FQM_2018_AR_aoda.pdf ; http://www.cobrelascruces.com/?lang=en
det_1091,First Quantum Minerals Ltd Annual Report 2008,http://www.annualreports.com/HostedData/AnnualReportArchive/f/TSX_FM_2008.pdf
det_1092,Sibanye-Stillwater (2018) Mineral Resources and Mineral Reserves Report,http://reports.sibanyestillwater.com/2018/download/SGL-RR18.pdf
det_1093,Sibanye-Stillwater (2018) Mineral Resources and Mineral Reserves Report 2018,http://reports.sibanyestillwater.com/2018/download/SGL-RR18.pdf
det_1094,Sibanye-Stillwater Integrated Annual Report 2018,http://reports.sibanyestillwater.com/2018/download/SGL-IR18.pdf
det_1095,Evolution Mining Website (Cracow),https://evolutionmining.com.au/cracow/
det_1096,Newcrest Mining Limited (2018) Annual Report 2018,https://www.newcrest.com/sites/default/files/2019-10/181008_Newcrest%20Annual%20Report_1.pdf
det_1097,Newcrest Mining Limited (2018) Annual Report 2018,http://www.annualreports.com/HostedData/AnnualReportArchive/N/ASX_NCM_2018.pdf
det_1098,MMG (2017) Mining operations Kinsevere,http://www.mmg.com/en/Our-Operations/Mining-operations/Kinsevere.aspx
det_1099,MMG (2017) Mining operations Dugald River,http://www.mmg.com/en/Our-Operations/Mining-operations/Dugald-River.aspx
det_1100,MMG (2017) Mining operations Las Bambas,http://www.mmg.com/en/Our-Operations/Mining-operations/Las-Bambas.aspx
det_1101,MMG (2017) Mining operations Rosebery,http://www.mmg.com/en/Our-Operations/Mining-operations/Rosebery.aspx
det_1102,"MMG (2017) Annual Report 2016, MMG (2014) Annual Report 2013","http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Files/Exchange%20Announcements/Investors%20and%20Media/News/2017/04/20/MMG_Annual-Report2016.pdf, http://www.mmg.com/en/Investors-and-Media/Reports-and-Presentations/~/media/Reports%20and%20Presentations/Annual%20Reports/2013/e_2014-04-10_2013%20Annual%20Report.ashx"
det_1103,Anglo American plc (2019) Integrated Annual Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-annual-report-2018.pdf
det_1104,Anglo American plc (2019) Ore Reserves and Mineral Resources Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/aa-ore-reserves-and-mineral-resources-2018.pdf
det_1105,Anglo American plc (2017) Annual Report 2016,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2017/annual-report-2016-interactive-v2.pdf
det_1106,Anglo American plc (2013) Annual Report 2012,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf
det_1107,Anglo American plc (2013) Annual Report 2012; Vedanta Zinc international Website (Lisheen mine) ; Vedanta Limited (2019) Form 20-F Annual Report 2019,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf ; https://www.vedanta-zincinternational.com/our-operations/lisheen-mine ; https://www.sec.gov/Archives/edgar/data/1370431
det_1108,Anglo American plc (2013) Annual Report 2012; Vedanta Zinc international Website (Black Mountain) ; Vedanta Limited (2019) Form 20-F Annual Report 2019,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2013/annual-report2012.pdf ; https://www.vedanta-zincinternational.com/our-operations/black-mountain ; https://www.sec.gov/Archives/edgar/data/1370431
det_1109,Exxaro Resources Ltd. (2012) Annual Financial Results Presentation for the year ended 31 December 2011,https://web.archive.org/web/20150315043001/http://www.exxaro.com/pdf/2012/feb/results_presentation_2011.pdf
det_1110,Anglo American plc (2011) Annual Report 2010 ; Vedanta Zinc International Website (Skorpion Zinc) ; Vedanta Limited (2019) Form 20-F Annual Report 2019,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf ; https://www.vedanta-zincinternational.com/our-operations/skorpion-zinc ; https://www.sec.gov/Archives/edgar/data/1370431/000119312519194036/d745879d20f.htm#toc745879_7
det_1111,Anglo American plc (2011) Annual Report 2010,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2011/angloamerican-annual-report-2010.pdf
det_1112,Anglo American plc (2009) Annual Report 2008 ; Tronox Website (Global locations),https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf ; https://www.tronox.com/about-us/global-locations/#9423
det_1113,Anglo American plc (2009) Annual Report 2008,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2009/ar2008.pdf
det_1114,Anglo American plc (2015) Annual Report 2014,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2015/aa-ar14-interactive-final.pdf
det_1115,Anglo American plc (2021) Annual Report 2020,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf
det_1116,Anglo American plc (2005) Annual Report 2004,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2005/annual-report-2004.pdf
det_1117,KAZ minerals plc (2019) Annual Report 2018 ; KAZ Minerals Website (Bozshakol),https://www.kazminerals.com/media/9970/kaz-minerals-annual-report-2018.pdf ; https://www.kazminerals.com/our-business/bozshakol/
det_1118,"KAZ minerals plc (2019) Annual Report 2018, KAZ Minerals Website (Aktogay)",https://www.kazminerals.com/media/9970/kaz-minerals-annual-report-2018.pdf ; https://www.kazminerals.com/our-business/aktogay/
det_1119,KAZ minerals plc (2019) Our business Bozymchak,https://www.kazminerals.com/our-business/bozymchak/
det_1120,KAZ minerals plc (2020) Annual Report 2019,https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf
det_1121,KAZ minerals plc (2020) Annual Report 2019 ; KAZ Minerals Website (East Region),https://www.kazminerals.com/media/19752/ka179_2019_annual_report_web_singles_v1.pdf ; https://www.kazminerals.com/our-business/east-region/
det_1122,KAZ minerals plc (2017) Annual Report 2016,https://www.kazminerals.com/media/1725/ka149_book-small-cmyk-1.pdf
det_1123,KAZ minerals plc (2009) Annual Report 2008,http://annualreports.com/HostedData/AnnualReportArchive/k/LSE_KAZ_2008.pdf
det_1124,Boliden Group (2019) Boliden 2018 Annual and Sustainability Report,https://vp217.alertir.com/afw/files/press/boliden/201903076646-1.pdf
det_1125,Fresnillo plc (2019) Annual Report and Accounts 2018,http://www.fresnilloplc.com/media/412015/fres-30452-annual-report-2018-web.pdf
det_1126,"Fresnillo plc (2018) Fresnillo plc December 31, 2018 Consolidated Audited Ore Reserve Statement for Fresnillo plc Operating and Development Properties, SRK Consulting (U.S.), Inc.",http://www.fresnilloplc.com/media/407956/FRES-Consolidated-Audited-Ore-Reserve-Statement-2018.pdf
det_1127,South32 Website (South Africa Manganese); South32 Annual Report 2019,https://www.south32.net/our-business/southern-africa/south-africa-manganese ; https://www.south32.net/docs/default-source/all-financial-results/2019-annual-reporting-suite/annual-report-2019.pdf
det_1128,South32 Website (GEMCO),https://www.south32.net/our-business/australia/gemco
det_1129,South32 Website (TEMCO),https://www.south32.net/our-business/australia/temco
det_1130,First Quantum Minerals Ltd (2008) Annual Report 2008 ; First Quantum Minerals Ltd (2007) Annual Report 2007,http://www.annualreports.com/Company/first-quantum-minerals-ltd
det_1131,First Quantum Minerals Ltd (2008) Annual Report 2008 ; First Quantum Minerals Ltd (2007) Annual Report 2008,http://www.annualreports.com/Company/first-quantum-minerals-ltd
det_1132,African Barrick Gold Annual Report 2010,http://www.annualreports.com/HostedData/AnnualReportArchive/A/LSE_ACA_2010.pdf
det_1133,"African Barrick Gold Annual Report 2010, African Barrick Gold Annual Report 2012",http://www.annualreports.com/HostedData/AnnualReportArchive/A/LSE_ACA_2010.pdf ; http://www.annualreports.com/HostedData/AnnualReportArchive/A/LSE_ACA_2012.pdf
det_1134,"BHP Annual Report 2019, BHP Website (Olympic Dam)",https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf?la=en ; https://www.bhp.com/our-businesses/minerals-australia/olympic-dam/
det_1135,BHP Group (2019) Annual Report 2019,https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf?la=en
det_1136,BHP Billiton (2013) Annual Report 2013,https://www.bhp.com/-/media/bhp/documents/investors/reports/2013/bhpbillitonannualreport2013.pdf?la=en
det_1137,BHP Billiton (2007) Form 20-F Annual Report 2007,https://www.bhp.com/-/media/bhp/documents/investors/reports/2007/20fstatement2007.pdf?la=en
det_1138,BHP Billiton (2004) Form 20-F Annual Report 2004,https://www.bhp.com/-/media/bhp/documents/investors/reports/2004/2004form20fdescriptionofbusinessparta.pdf?la=en
det_1139,BHP Billiton (2003) Annual Report 2003,https://www.bhp.com/-/media/bhp/documents/investors/reports/2003/limitedannualreport.pdf?la=en
det_1140,BHP Billiton (2001) Quarterly Production Report - June 2001,https://www.bhp.com/-/media/bhp/documents/investors/news/prall.pdf?la=en
det_1141,BHP Billiton (2002) Annual Report 2002 ; BHP Billiton (2003) Quarterly Production Report - June 2003,https://www.bhp.com/-/media/bhp/documents/investors/reports/2002/2002_ltd_annual_report.pdf?la=en ; https://www.bhp.com/-/media/bhp/documents/investors/reports/2003/nr2403productionreport24july2003.pdf?la=en
det_1142,Capstone Mining Corp. Website (Pinto Valley),https://capstonemining.com/operations/pinto-valley/overview/default.aspx
det_1143,Capstone Mining Corp. Website (Cozamin),https://capstonemining.com/operations/cozamin/overview/default.aspx
det_1144,Capstone Mining Corp. Website (Santo Domingo),https://capstonemining.com/operations/santo-domingo/overview/default.aspx
det_1145,Pembridge Resources Ltd. Website (Operations),https://www.pembridgeresources.com/operations
det_1146,OK Tedi Mining Limited Website (What we do),https://oktedi.com/what-we-do/
det_1147,South32 Limited (2019) Annual Report 2019,https://www.south32.net/docs/default-source/all-financial-results/2019-annual-reporting-suite/annual-report-2019.pdf?sfvrsn=1f22b159_44
det_1148,BHP Billiton (2010) Annual Report 2010,https://www.bhp.com/-/media/bhp/documents/investors/reports/2010/bhpbillitonannualreport2010.pdf?la=en
det_1149,Hudbay Minerals Inc. (2019) Annual Report 2018,https://s23.q4cdn.com/405985100/files/doc_financials/annual_reports/Hudbay_2018_Annual_CSR_Report.pdf
det_1150,Hudbay Minerals Inc. (2019) Annual Report 2018 ;  Hudbay Minerals Inc Managements Discussion and Analysis of Results of Operations and Financial Condicion 2014,https://s23.q4cdn.com/405985100/files/doc_financials/annual_reports/Hudbay_2018_Annual_CSR_Report.pdf ; https://s23.q4cdn.com/405985100/files/doc_financials/quarterly_reports/2014/q4/ANNUALMDA14-(1)_v001_x4wlfk.pdf
det_1151,Newmont Mining Corporation (2020) Annual Report 2019,https://s24.q4cdn.com/382246808/files/doc_financials/annual/2019/370034(1)_23_Newmont_Web-Ready-Annual-Report-and-10-K.pdf
det_1152,Newmont Mining Corporation (2020) Annual Report 2019 ; Goldcorp Inc. (2015) Annual Report 2014,https://s24.q4cdn.com/382246808/files/doc_financials/annual/2019/370034(1)_23_Newmont_Web-Ready-Annual-Report-and-10-K.pdf ; https://www.extractiveshub.org/servefile/getFile/id/5311
det_1153,Evolution Mining Website (Red Lake),https://evolutionmining.com.au/red-lake/
det_1154,Equinox Gold Website (Los Filos Overview),https://www.equinoxgold.com/operations/operating-mines/los-filos/#overview
det_1155,Goldcorp Inc. (2015) Annual Report 2014,https://www.extractiveshub.org/servefile/getFile/id/5311
det_1156,Goldcorp Inc. (2007) Annual Report 2006 ; Goldcorp Inc. (2019) Annual Report 2018,https://www.sec.gov/Archives/edgar/data/919239/000094523407000193/o35525exv99w2.htm ; https://www.newmont.com/files/doc_financials/mda/annual/12.31.2018-MD-A-and-Financial-Statements.pdf
det_1157,Goldcorp Inc. (2009) Annual Report 2008,https://www.sec.gov/Archives/edgar/data/919239/000094523409000065/o54181exv99w2.htm
det_1158,Goldcorp Inc. (2007) Annual Report 2006,https://www.sec.gov/Archives/edgar/data/919239/000094523407000193/o35525exv99w2.htm
det_1159,Vale S.A. (2020) Annual Report 2019,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/Vale%2020-F%202019_i.pdf
det_1160,Vale S.A. (2017) Annual Report 2016,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/Vale_20-F_FY2016_-_i.pdf
det_1161,Vale S.A. (2011) Annual Report 2010,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2010_i.pdf
det_1162,Vale S.A. (2014) Annual Report 2013,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2013_i.pdf
det_1163,Vale S.A. (2011) Annual Report 2010 ; PT Aneka Tambang Tbk (2020) Annual Report 2019,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2010_i.pdf ; https://www.antam.com/en/reports/annual-reports
det_1164,Vale S.A. (2017) Annual Report 2016 ; African Rainbow Minerals Ltd. (2014) Integrated Annual Report 2013,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/Vale_20-F_FY2016_-_i.pdf ; http://arm.integrated-report.com/2013/operational/arm-copper
det_1165,Norsk Hydro Website (Alunorte),https://www.hydro.com/en/about-hydro/hydro-worldwide/south-america/brazil/barcarena/alunorte/
det_1166,Companhia Vale Do Rio Doce (2008) Annual Report 2007,http://www.vale.com/EN/investors/information-market/annual-reports/20f/20FDocs/20F_2007_i.pdf
det_1167,Freeport-McMoRan Inc. (2020) Annual Form 10-K Report 2019,http://d18rn0p25nwr6d.cloudfront.net/CIK-0000831259/2c324997-2084-4e3f-a51d-a1ec3538db27.pdf
