material_id,material_name,material_category,material_category_2,material_id_agg,material_name_agg,materials_contained
Me.La2O3,Lanthanum(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Lu,Lutetium,commodity,metal,Me.rem,Rare-earth metals,
Me.Lu2O3,Lutetium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Nd,Neodymium,commodity,metal,Me.rem,Rare-earth metals,
Me.Nd2O3,Neodymium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Pr,Praseodymium,commodity,metal,Me.rem,Rare-earth metals,
Me.Pr2O3,Praseodymium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Pm,Promethium,commodity,metal,Me.rem,Rare-earth metals,
Me.Pm2O3,Promethium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Sm,Samarium,commodity,metal,Me.rem,Rare-earth metals,
Me.Sm2O3,Samarium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Sc,Scandium,commodity,metal,Me.rem,Rare-earth metals,
Me.Sc2O3,Scandium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Tb,Terbium,commodity,metal,Me.rem,Rare-earth metals,
Me.Tb2O3,Terbium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Tm,Thulium,commodity,metal,Me.rem,Rare-earth metals,
Me.Tm2O3,Thulium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Yb,Ytterbium,commodity,metal,Me.rem,Rare-earth metals,
Me.Yb2O3,Ytterbium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Y,Yttrium,commodity,metal,Me.rem,Rare-earth metals,
Me.Y2O3,Yttrium(III) oxide,commodity,metal compound,Me.reo,Rare-earth oxides,
Me.Re,Rhenium,commodity,metal,,,
Me.Rb,Rubidium,commodity,metal,,,
Me.Se,Selenium,commodity,metal,,,
Me.Si,Silicon,commodity,metal,,,
Me.Ag,Silver,commodity,metal,,,
Me.Sr,Strontium,commodity,metal,,,
Me.Ta,Tantalum,commodity,metal,,,
Me.Ta2O5,Tantalum pentoxide,commodity,metal compound,,,
Me.Te,Tellurium,commodity,metal,,,
Me.Tl,Thallium,commodity,metal,,,
Me.Th,Thorium,commodity,metal,,,
Me.Sn,Tin,commodity,metal,,,
Me.Ti,Titanium,commodity,metal,,,
Me.TiO2,Titanium dioxide,commodity,metal compound,,,
Me.U3O8,Triuranium octoxide,commodity,metal compound,Me.UO,Uranium oxide,
Me.W,Tungsten,commodity,metal,,,
Me.WO3,Tungsten trioxide,commodity,metal compound,,,
Me.U,Uranium,commodity,metal,,,
Me.V,Vanadium,commodity,metal,,,
Me.V2O5,Vanadium pentoxide,commodity,metal compound,,,
Me.Zn,Zinc,commodity,metal,,,
Me.Zr,Zirconium,commodity,metal,,,
Nm.dig,"Diamonds, gems",commodity,non-metallic mineral,Nm.dia,Diamonds (unspecified),
Nm.dii,"Diamonds, industrial",commodity,non-metallic mineral,Nm.dia,Diamonds (unspecified),
Nm.gem,Gemstones n.e.c.,commodity,non-metallic mineral,,,
Nm.nep,Nepheline,commodity,non-metallic mineral,,,
Nm.PO,Phosphate and Phosphorus oxides,commodity,non-metallic mineral,,,
Nm.P,Phosphorus,commodity,non-metallic mineral,,,
Nm.SiO2,Silica,commodity,non-metallic mineral,,,
Nm.S,Sulphur,commodity,non-metallic mineral,,,
Nm.H2SO4,Sulphuric acid,commodity,non-metallic mineral,,,
Nm.SO2,Sulphur dioxide,commodity,non-metallic mineral,,,
Con.Al,Aluminium concentrate,other_product,ore concentrate,,,
Con.Be,Beryllium concentrate,other_product,ore concentrate,,,
Con.bulk,Bulk concentrate,other_product,ore concentrate,,,
Con.Cr,Chromium concentrate,other_product,ore concentrate,,,
Con.Co,Cobalt concentrate,other_product,ore concentrate,,,
Con.Cu,Copper concentrate,other_product,ore concentrate,,,
Con.CuS,Copper sulphide concentrate,other_product,ore concentrate,,,
Con.FeNi,Ferronickel concentrate,other_product,ore concentrate,,,
Con.Au,Gold concentrate,other_product,ore concentrate,,,
Con.Fe,Iron ore concentrate,other_product,ore concentrate,,,
Con.Pb,Lead concentrate,other_product,ore concentrate,,,
Con.Li,Lithium concentrate,other_product,ore concentrate,,,
Con.MnCO3,Manganese carbonate concentrate,other_product,ore concentrate,,,
Con.MnO,Manganese oxide concentrate,other_product,ore concentrate,,,
Con.Mo,Molybdenum  concentrate,other_product,ore concentrate,,,
Con.nep,Nepheline concentrate,other_product,ore concentrate,,,
Con.Ni,Nickel concentrate,other_product,ore concentrate,,,
Con.Pd,Palladium concentrate,other_product,ore concentrate,,,
Con.pgm,PGM concentrate,other_product,ore concentrate,,,
Con.rem,Rare-earth concentrate,other_product,ore concentrate,,,
Con.Ag,Silver concentrate,other_product,ore concentrate,,,
Con.S,Sulphur concentrate,other_product,ore concentrate,,,
Con.Ta,Tantalum concentrate,other_product,ore concentrate,,,
Con.Ti,Titanium concentrate,other_product,ore concentrate,,,
Con.W,Tungsten concentrate,other_product,ore concentrate,,,
Con.U3O8,Uranium oxide concentrate,other_product,ore concentrate,,,
Con.Zn,Zinc  concentrate,other_product,ore concentrate,,,
Con.Zr,Zirconium concentrate,other_product,ore concentrate,,,
All.FeCr,Ferrochrome,other_product,metal alloy,All.Cr,Chromium alloys,
All.FeMn,Ferromanganese,other_product,metal alloy,All.Mn,Manganese alloys,
All.FeMo,Ferromolybdenum,other_product,metal alloy,,,
All.FeNi,Ferronickel,other_product,metal alloy,,,
All.FeSi,Ferrosilicon,other_product,metal alloy,,,
All.FeW,Ferrotungsten,other_product,metal alloy,,,
All.FeV,Ferrovanadium,other_product,metal alloy,,,
Oth.cuca,Copper cathode,other_product,metal product,,,
Oth.cuce,Copper cement,other_product,metal product,,,
Oth.pig,Pig iron,other_product,metal product,,,
Oth.tis,Titanium slag,other_product,metal ore product,,,
Oth.sif,Sinter feed,other_product,metal ore product,,,
F.coal,Coal (unspecified),ff_mineral,coal & peat,,,
F.lig,Lignite,ff_mineral,coal & peat,F.stc,Steam coal,
F.sbc,Sub-bituminous coal,ff_mineral,coal & peat,F.stc,Steam coal,
F.ant,Anthracite,ff_mineral,coal & peat,F.stc,Steam coal,
F.coc,Coking Coal,ff_mineral,coal & peat,,,
F.obc,Other bituminous coal,ff_mineral,coal & peat,F.stc,Steam coal,
F.pea,Peat for energy use,ff_mineral,coal & peat,,,
F.cro,Crude oil,ff_mineral,oil & gas,,,
F.nag,Natural gas,ff_mineral,oil & gas,,,
F.ngl,Natural gas liquids,ff_mineral,oil & gas,,,
F.ois,Oil shale and oil sands,ff_mineral,oil shale & oil sand,,,
F.oth,Other hydrocarbons,ff_mineral,oil & gas,,,
Ff.ois,Petroleum from oil sands,ff_commodity,oil & gas,,,
All.Cr,Chromium alloys,aggregate,metal alloy aggregate,,,All.FeCr
All.Mn,Manganese alloys,aggregate,metal alloy aggregate,,,All.FeMn
All.Pb,Manganese alloys,aggregate,metal alloy aggregate,,,""
All.Sn,Manganese alloys,aggregate,metal alloy aggregate,,,""
F.stc,Steam coal,aggregate,coal & peat aggregate,,,F.lig; F.sbc; F.ant; F.obc
Me.Na_nec,Sodium compounds n.e.c.,aggregate,metal compound aggregate,,,""
Me.pgm,PGM,aggregate,metal aggregate,,,Me.Ir; Me.Os; Me.Pd; Me.Pt; Me.Rh; Me.Ru
Me.rem,Rare-earth metals,aggregate,metal aggregate,,,Me.Ce; Me.Dy; Me.Er; Me.Eu; Me.Gd; Me.Ho; Me.La; Me.Lu; Me.Nd; Me.Pr; Me.Pm; Me.Sm; Me.Sc; Me.Tb; Me.Tm; Me.Yb; Me.Y
Me.reo,Rare-earth oxides,aggregate,metal compound aggregate,,,Me.Ce2O3; Me.Dy2O3; Me.Er2O3; Me.Eu2O3; Me.Gd2O3; Me.Ho2O3; Me.La2O3; Me.Lu2O3; Me.Nd2O3; Me.Pr2O3; Me.Pm2O3; Me.Sm2O3; Me.Sc2O3; Me.Tb2O3; Me.Tm2O3; Me.Yb2O3; Me.Y2O3
Me.SO4_nec,Sulphates,aggregate,metal compound aggregate,,,Me.CaSO4; Me.MgSO4; Me.K2SO4
Me.UO,Uranium oxide,aggregate,metal compound aggregate,,,Me.U3O8
Nm.dia,Diamonds (unspecified),aggregate,non-metallic mineral aggregate,,,Nm.dig; Nm.dii
O.dia,Diamond ore (unspecified),aggregate,non-metallic mineral ore aggregate,,,O.dig; O.dii
