id,facility_id,year,owners,operators,source_id,comment
56,COM00121.00,2019,ArcelorMittal S.A. (100%),,det_1218,
57,COM00122.00,2019,CITIC Dameng Holdings Limited (51%),,det_2044,
58,COM00125.00,2013,ArcelorMittal S.A. (98.64%),,det_1220,
59,COM00130.00,2006,AngloGold Ashanti (100%),,det_1060,
60,COM00133.00,2018,Rio Tinto (100%),,det_1065,
61,COM00139.00,2012,Anglo American plc (74%),,det_1106,
62,COM00139.00,2019,"Vedanta Limited (69.6%), Exxaro Resources Limited (24.4%)",,det_1307,
63,COM00140.00,2019,"African Rainbow Minerals Ltd. (50%), Assore Ltd. (50%)",Assmang Proprietary Ltd.,det_1265,
64,COM00143.00,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
65,COM00144.00,2020,Terracom Ltd. (100%),,det_1546,
66,COM00146.00,2014,Cleveland-Cliffs Inc. (82.8%),,det_1234,
67,COM00147.00,2018,Sibanye-Stillwater (50%),,det_1092,
68,COM00149.00,2019,Companhia Siderurgica Nacional (100%),,det_1222,
69,COM00151.00,2002,AngloGold Ashanti (33.33%),,det_1062,
70,COM00151.00,2002,Newcrest Mining Limited (22.2%),,det_2908,
71,COM00151.00,2017,Newmont Mining Corporation (100%),,det_1595,before 2009 it was a mine from AngloGold
72,COM00152.00,2019,Aluminium Corporation of China Ltd. (85%),Chalco Guinea Company S.A.,det_1274,
73,COM00154.00,2021,"Idemitsu Australia Resources (80%), Chugoku Electric Power Australia Resources Pty Ltd (10%), NS Boggabri Pty Limited (10%)",Boggabri Coal Operations Pty Ltd (BCOPL),det_1543,
74,COM00155.00,2019,Rusal Plc. (100%),,det_1277,
75,COM00157.00,2019,Sierra Metals Inc. (100%),Sierra Metals Inc.,det_1385,
76,COM00159.00,2018,Newcrest Mining Limited (89.89%),,det_2907,
77,COM00161.00,2019,Rusal Plc. (100%),,det_1277,
78,COM00162.00,2018,Rio Tinto (59.4%),,det_1065,
79,COM00167.00,2019,Rusal Plc. (100%),,det_1277,
80,COM00168.00,2015,Compania de Minas Buenaventura S.A.A. (100%),Compania de Minas Buenaventura S.A.A.,det_2027,
81,COM00170.00,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
82,COM00171.00,2000,AngloGold Ashanti (100%),,det_1063,
83,COM00176.00,2019,Coronado Global Resources Inc. (100%),,det_1426,
84,COM00179.00,2020,,Bulga Coal Management Pty Ltd,det_1184,
85,COM00180.00,2019,"Bulyanhulu Gold Mine Limited (BGML) subsidiary of Acacia Mining plc, 63.9% subsidiary of Barrick Gold Corporation",,det_1035,
86,COM00182.00,2019,ArcelorMittal S.A. (100%),,det_1218,
87,COM00183.00,2018,Sibanye-Stillwater (100%),,det_1092,
88,COM00186.00,2019,"Pangea Minerals Limited (PML) subsidiary of Acacia Mining plc, 63.9% subsidiary of Barrick Gold Corporation",,det_1035,
89,COM00188.00,2019,MMC Norlisk Nickel (50.1%),,det_1201,
90,COM00189.00,2019,Peabody Energy Corp. (100%),,det_2144,
91,COM00190.00,2018,Newcrest Mining Limited (100%),,det_2907,
92,COM00192.00,2019,Nickel Asia Corp. (100%),,det_1447,
93,COM00196.00,2020,"Yamana Gold Inc. (50%), Agnico Eagle Mines Limited (50%)",,det_1212,
94,COM00197.00,2019,"Lundin Mining Corp. (80%), Sumitomo Metal MiningCo., Ltd and Sumitomo Corporation (20%)",,det_1849,
95,COM00198.00,2019,South32 (100%),,det_1147,
96,COM00205.00,2017,Newmont Mining Corporation (100%),,det_1595,
97,COM00207.00,2018,"Teck Resources Limited (90%), Empresa Nacional de Mineria (10%)",,det_1082,
98,COM00210.00,2019,Companhia Siderurgica Nacional (87.52%),,det_1222,
99,COM00211.00,2019,Austral Gold Ltd. (100%),,det_1468,
100,COM00212.00,2010,Anglo American plc (100%),,det_1111,
101,COM00215.00,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
102,COM00216.00,2018,First Quantum Minerals Limited (100%),,det_1089,
103,COM00217.00,2018,Rio Tinto (23%),,det_1065,
104,COM00219.00,2018,"Altos Hornos de Mexico, S.A.B. de C.V. (100%)",,det_1371,
105,COM00220.00,2020,Antofagasta Plc. (70%),,det_2914,
106,COM00222.00,2018,MetInvest B.V. (100%),,det_1225,
107,COM00223.00,2020,Westgold Resources Ltd. (100%),,det_1439,
108,COM00224.00,2016,MMG (100%),,det_2847,
109,COM00225.00,2019,"BHP (33.33%), Anglo American (33.33%), Glencore (33.33%)",Cerrejon,det_1608,
110,COM00228.00,2019,South32 (99.9%),,det_1865,
111,COM00229.00,2020,Yamana Gold Inc. (100%),,det_1209,
112,COM00230.00,2019,Newmont Mining Corp. (100%),,det_1151,
113,COM00232.00,2018,AngloGold Ashanti (92.5%),,det_1057,
114,COM00233.00,2019,"Freeport-McMoRan Inc. (53.56%), SMM Cerro Verde Netherlands B.V. (21.%), Compañia de MinasBuenaventura S.A.A. (19.58%)",,det_1167,
115,COM00236.00,2007,Peabody Energy Corp. (80%),,det_1392,
116,COM00242.00,2019,"Vedanta Limited (64.9%), Government of India (29.5%)",Hindustan Zinc Limited,det_1307,
117,COM00243.00,2019,CITIC Dameng Holdings Limited (64%),,det_2044,
118,COM00244.00,2020,Lundin Mining Corp. (100%),Mineração Maracá Indústria e Comércio S/A,det_1202,
119,COM00245.00,2016,Anglo American plc (100%),,det_1105,
120,COM00250.00,2019,"Jinchuan Group International Resources Co. Ltd (85%), ZCCM Investment Holdings Plc. (23%)",,det_1449,
121,COM00253.00,2019,Freeport-McMoRan Inc. (100%),,det_1167,
122,COM00254.00,2018,Kinross Gold (90%),Kinross Gold,det_1052,
123,COM00255.00,2017,"Zijin Mining Group Co., Ltd. (60%)",,det_1321,
124,COM00256.00,2019,Vedanta Limited (100%),,det_1307,
125,COM00258.00,2018,Fresnillo plc (100%),,det_1125,
126,COM00262.00,2019,BHP (100%),BHP,det_1608,
127,COM00263.00,2019,Coronado Global Resources Inc. (100%),,det_1426,
128,COM00264.00,2019,Freeport-McMoRan Inc. (100%),,det_1167,
129,COM00268.00,2019,ArcelorMittal S.A. (100%),,det_1218,
130,COM00269.00,2018,First Quantum Minerals Limited (100%),,det_1089,
131,COM00270.00,2018,First Quantum Minerals Limited (90%),,det_1089,
132,COM00271.00,2008,Cleveland-Cliffs Inc. (50%),,det_1236,
133,COM00272.01,2018,Codelco (100%),,det_1171,
134,COM00272.02,2018,Codelco (100%),,det_1171,
135,COM00274.00,2015,"Alcoa Corp. (60%), Alumina Limited (40%)",,det_1271,
136,COM00276.00,2018,Anglo American plc (44%),,det_1103,
137,COM00281.00,2017,Newmont Mining Corporation (54.05%),,det_1595,
138,COM00283.00,2018,Hudbay Minerals Inc (100%),,det_2912,
139,COM00284.00,2019,ArcelorMittal S.A. (100%),,det_1218,
140,COM00285.00,2018,Sibanye-Stillwater (100%),,det_1092,
141,COM00286.00,2008,Anglo American plc (100%),,det_1113,
142,COM00287.00,2019,Peabody Energy Corp. (73.3%),,det_2144,
143,COM00291.00,2019,Nickel Asia Corp. (10%),,det_1447,
144,COM00292.00,2018,Cloud Peak Energy Inc. (100%),,det_1077,
145,COM00295.00,2008,Rio Tinto (100%),Rio Tinto,det_1068,
146,COM00295.00,2019,Vale S.A. (100%),,det_1159,
147,COM00299.00,2019,Capstone Mining Corp. (100%),,det_1143,
148,COM00302.00,2015,AngloGold Ashanti (100%),,det_1057,
149,COM00302.00,2017,Newmont Mining Corporation (100%),,det_1595,
150,COM00304.00,2019,Glencore plc. (100%),,det_2855,
151,COM00309.00,2019,Coronado Global Resources Inc. (100%),,det_1426,
152,COM00310.00,2019,Sierra Metals Inc. (100%),Sierra Metals Inc.,det_1385,
153,COM00313.00,2019,"Vedanta Limited (64.9%), Government of India (29.5%)",Hindustan Zinc Limited,det_1307,
154,COM00314.00,2019,"Alcoa Corp. (60%), Alumina Limited (40%)",Alcoa Corp.,det_1270,
155,COM00319.00,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
156,COM00321.00,2019,CITIC Dameng Holdings Limited (100%),,det_2044,
157,COM00323.00,2019,"Vedanta Limited (64.9%), Government of India (29.5%)",Hindustan Zinc Limited,det_1307,
158,COM00325.00,2020,"Zijin Mining Group Co., Ltd. (100%)",,det_2926,
159,COM00327.00,2020,Sandfire Resources Ltd. (100%),,det_1485,
160,COM00331.00,2019,Rusal Plc. (100%),,det_1277,
161,COM00332.00,2018,Rio Tinto (60%),,det_1065,
162,COM00333.00,2019,OceanaGold Corp. (92%),,det_1359,
163,COM00336.00,2019,ArcelorMittal S.A. (100%),,det_1218,
164,COM00337.00,2019,Novolipetsk Steel (100%),,det_1361,
165,COM00338.00,2019,Pan American Silver Corp. (100%),,det_1380,
166,COM00343.00,2018,Sibanye-Stillwater (38%),,det_1092,
167,COM00344.00,2018,Sibanye-Stillwater (100%),,det_1092,
168,COM00352.00,2018,MMG (100%),,det_1606,
169,COM00354.00,2013,Newmont Mining Corporation (19.75%),,det_1012,
170,COM00355.00,2015,Rio Tinto (100%),,det_1065,
171,COM00357.00,2020,"Zijin Mining Group Co., Ltd. (100%)",,det_1325,
172,COM00359.00,2018,Kinross Gold (100%),Kinross Gold,det_1048,
173,COM00360.00,2019,Assore Ltd. (100%),,det_1268,
174,COM00363.00,2020,Lundin Mining Corp. (100%),,det_1203,
175,COM00365.00,2018,Sibanye-Stillwater (100%),,det_1092,
176,COM00368.00,2020,Perseues Mining Ltd. (100%),,det_1455,
177,COM00370.00,2019,ArcelorMittal S.A. (100%),,det_1218,
178,COM00372.00,2019,"Freeport-McMoRan Inc. (51%),  Corporación Nacional del Cobre de Chile (49%)",,det_1167,
179,COM00376.00,2020,Yamana Gold Inc. (100%),,det_1210,
180,COM00380.00,2019,Peabody Energy Corp. (100%),,det_2144,
181,COM00381.00,2018,Anglo American plc (50.10%),,det_1103,
182,COM00382.00,2018,Codelco (100%),,det_1171,
183,COM00383.00,2019,ArcelorMittal S.A. (100%),,det_1218,
184,COM00384.00,2015,Newmont Mining Corporation (48.50%),,det_1013,
185,COM00386.00,2019,Newmont Mining Corp. (100%),,det_1151,
186,COM00390.00,2019,Cleveland-Cliffs Inc. (100%),,det_1233,
187,COM00392.00,2018,Rio Tinto (68.4%),,det_1065,
188,COM00393.00,2021,"Idemitsu Australia Resources (85%), Bowen Investment Pty Ltd (15%)",,det_1544,
189,COM00394.00,2002,AngloGold Ashanti (100%),,det_1062,
190,COM00395.01,2019,Glencore plc. (70%),,det_2855,
191,COM00395.02,2019,Glencore plc. (100%),,det_2855,
192,COM00396.00,2019,Pan American Silver Corp. (100%),,det_1380,
193,COM00397.00,2018,"BHP (57.5%), Rio Tinto (30%), JECO Corporation consortium comprising Mitsubishi, JX Nippon Mining and Metals (10%), JECO2 Ltd (2.5%)",,det_2905,
194,COM00400.00,2003,Rio Tinto (56%),,det_1072,
195,COM00400.00,2008,Rusal Plc. (100%),,det_1277,
196,COM00400.00,2009,Rusal Plc. (100%),,det_1277,
197,COM00400.00,2010,Rusal Plc. (100%),,det_1277,
198,COM00400.00,2011,Rusal Plc. (100%),,det_1277,
199,COM00400.00,2012,Rusal Plc. (100%),,det_1277,
200,COM00400.00,2013,Rusal Plc. (100%),,det_1277,
201,COM00400.00,2014,Rusal Plc. (100%),,det_1277,
202,COM00400.00,2015,Rusal Plc. (100%),,det_1277,
203,COM00400.00,2016,Rusal Plc. (100%),,det_1277,
204,COM00400.00,2017,Rusal Plc. (100%),,det_1277,
205,COM00400.00,2018,Rusal Plc. (100%),,det_1277,
206,COM00400.00,2019,Rusal Plc. (100%),,det_1277,
207,COM00405.00,2019,Vale S.A. (100%),,det_1159,
208,COM00412.00,2019,Companhia Siderurgica Nacional (100%),,det_1222,
209,COM00413.00,2019,Ferrexpo plc. (100%),,det_2069,
210,COM00417.00,2019,Global Ferronickel Holdings Inc. (99.98%),Platinum Group Metals Corporation,det_1448,
211,COM00418.00,2018,Kinross Gold (100%),Kinross Gold,det_1046,
212,COM00419.00,2019,Sherritt International Corp. (100%),,det_1432,
213,COM00421.00,2020,Fortescue Metals Group Ltd (100%),,det_1355,
214,COM00422.00,2020,Westgold Resources Ltd. (100%),,det_1439,
215,COM00425.00,2019,Peabody Energy Corp. (100%),,det_2144,
216,COM00427.00,2004,AngloGold Ashanti (100%),,det_1061,
217,COM00429.00,2018,Fresnillo plc (100%),,det_1125,
218,COM00430.00,2019,Rusal Plc. (100%),,det_1277,
219,COM00432.00,2012,Kinross Gold (100%),Kinross Gold,det_1055,
220,COM00433.00,2019,Vedanta Limited (100%),,det_1307,
221,COM00434.00,2018,"Zijin Mining Group Co., Ltd. (41.5%)",,det_1332,
222,COM00436.00,2018,Codelco (100%),,det_1171,
223,COM00445.00,2019,Peabody Energy Corp. (100%),,det_2144,
224,COM00446.00,2018,AngloGold Ashanti (100%),,det_1057,
225,COM00447.00,2018,"Anglo American plc (40%), South32 (60%)",,det_2909,
226,COM00483.00,2019,"African Rainbow Minerals Ltd. (26%), Glencore plc (74%)",,det_1265,
227,COM00484.00,2016,MMG (100%),,det_2847,
228,COM00486.00,2019,Agnico Eagle Mines Limited (100%),,det_1632,
229,COM00487.00,2019,Barrick Gold Corporation (100%),,det_1024,
230,COM00489.00,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
231,COM00490.00,2018,PT Nusa Halmahera Minerals (Newcrest Mining Limited 75%),PT Nusa Halmahera Minerals (Newcrest Mining Limited 75%),det_2907,
232,COM00491.00,2018,Rio Tinto (100%),,det_1066,
233,COM00491.00,2018,Rio Tinto (100%),,det_1065,
234,COM00493.00,2018,Rio Tinto (100%),,det_1065,
235,COM00496.00,2019,"Freeport-McMoRan Inc. (48.76%),  PT Indonesia Asahan Aluminum (Persero) (PT Inalum) and  PTIndonesia Papua Metal Dan Mineral (51.24%)",PT Freeport Indonesia,det_1167,
236,COM00498.00,2014,AngloGold Ashanti (100%),,det_1057,Great Noligwa and Moab Khotsong are treated as one cash-generating unit from 1 January 2015
237,COM00499.00,2019,Coronado Global Resources Inc. (100%),,det_1426,
238,COM00502.01,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
239,COM00502.02,2019,"BHP (50%), Mitsubishi Development (50%)",BHP Mitsubishi Alliance (BMA),det_1608,
240,COM00505.00,2020,Anglo American plc (88%),,det_1115,
241,COM00507.00,2019,Austral Gold Ltd. (100%),,det_1468,
242,COM00508.00,2018,First Quantum Minerals Limited (100%),,det_1089,
243,COM00509.00,2019,Aluminium Corporation of China Ltd. (100%),Aluminium Corporation of China Ltd.,det_1274,
244,COM00512.01,2020,Whitehaven Coal Ltd. (100%),Whitehaven Coal Ltd.,det_1542,
245,COM00512.02,2020,Whitehaven Coal Ltd. (100%),Whitehaven Coal Ltd.,det_1542,
246,COM00512.03,2020,Whitehaven Coal Ltd. (100%),Whitehaven Coal Ltd.,det_1542,
247,COM00512.04,2020,Whitehaven Coal Ltd. (100%),Whitehaven Coal Ltd.,det_1542,
248,COM00516.00,2019,OceanaGold Corp. (100%),,det_1359,
249,COM00517.00,2020,Pantoro Ltd. (100%),,det_1494,
250,COM00518.00,2018,Rio Tinto (60%),,det_1065,
251,COM00519.00,2013,Rio Tinto (100%),,det_1069,
252,COM00519.00,2018,Rio Tinto (54%),,det_1065,
253,COM00520.01,2018,Rio Tinto (100%),Rio Tinto,det_1065,
254,COM00520.02,2018,Rio Tinto (100%),Rio Tinto,det_1065,
255,COM00520.03,2018,Rio Tinto (100%),Rio Tinto,det_1065,
256,COM00520.04,2018,Rio Tinto (100%),Rio Tinto,det_1065,
257,COM00520.05,2018,Rio Tinto (100%),Rio Tinto,det_1065,
258,COM00520.06,2018,Rio Tinto (100%),Rio Tinto,det_1065,
259,COM00520.07,2018,Rio Tinto (100%),Rio Tinto,det_1065,
260,COM00520.08,2018,Rio Tinto (100%),Rio Tinto,det_1065,
261,COM00520.09,2018,Rio Tinto (100%),Rio Tinto,det_1065,
262,COM00523.00,2018,First Quantum Minerals Limited (100%),,det_1089,
263,COM00524.00,2019,"Vedanta Limited (64.9%), Government of India (29.5%)",Hindustan Zinc Limited,det_1307,
264,COM00530.00,2019,Freeport-McMoRan Inc. (100%),,det_1167,
265,COM00532.00,2018,"Altos Hornos de Mexico, S.A.B. de C.V. (100%)",,det_1371,
266,COM00533.00,2013,Newmont Mining Corporation (44%),,det_1012,
267,COM00533.00,2018,Fresnillo plc (100%),,det_1125,
268,COM00534.00,2019,"ArcelorMittal S.A. (62.3%), Cleveland-Cliffs Inc. (23.0%), U.S. Steel (14.7%)",ArcelorMittal S.A.,det_1218,
269,COM00535.00,2018,"Newcrest Mining Limited (50%), Harmony Gold Mining Company Limited (50%)",,det_2907,
270,COM00538.00,2018,Teck Resources Limited (100%),,det_1080,
271,COM00540.00,2019,South32 (100%),,det_1147,
272,COM00541.00,2019,Nickel Asia Corp. (100%),,det_1447,
273,COM00542.00,2018,Sibanye-Stillwater (74%),,det_1092,
274,COM00544.00,2018,Rio Tinto (50%),,det_1065,
275,COM00547.00,2019,Pan American Silver Corp. (99.94%),,det_1380,
276,COM00548.00,2019,Aluminium Corporation of China Ltd. (100%),Aluminium Corporation of China Ltd.,det_1274,
277,COM00551.00,2018,"Yancoal Australia Ltd (51%), Glencore Coal Pty Ltd. (49%).",Hunter Valley Operations Joint Venture,det_2928,
278,COM00553.00,2018,AngloGold Ashanti (100%),,det_1057,
279,COM00559.00,2018,MetInvest B.V. (100%),,det_1225,
280,COM00568.00,2019,ArcelorMittal S.A. (100%),,det_1218,
281,COM00569.00,2018,MetInvest B.V. (100%),,det_1225,
282,COM00575.00,2019,Rusal Plc. (100%),,det_1277,
283,COM00576.00,2018,Rio Tinto (58.7%),Iron Ore Company of Canada Inc.,det_1065,
284,COM00580.00,2018,Rio Tinto (100%),,det_1065,
285,COM00581.00,2011,Compania de Minas Buenaventura S.A.A. (100%),Compania de Minas Buenaventura S.A.A.,det_1345,
286,COM00583.00,2019,Vale S.A. (100%),,det_1159,
287,COM00584.00,2019,"Usinas Siderurgicas de Minas Gerais S.A. (70%), Sumitomo Corp. (30%)",,det_1364,
288,COM00586.00,2019,"Barrick Gold Corporation (50%), Ma'aden (50%)",,det_1034,
289,COM00588.00,2020,Yamana Gold Inc. (100%),Jacobina Mineração e Comércio S. A. (JMC),det_1208,
290,COM00589.00,2013,"Alcoa Corp. (55%), Clarendon Alumina Production Ltd. (40%)",,det_1272,
291,COM00592.00,2003,AngloGold Ashanti (70%),,det_1061,
292,COM00594.00,2019,Vedanta Limited (51%),,det_1307,
293,COM00595.00,2019,Aluminium Corporation of China Ltd. (100%),Aluminium Corporation of China Ltd.,det_1274,
294,COM00597.00,2019,"BHP (85%), Mitsui-ITOCHU Iron (10%), ITOCHU Minerals and Energy of Australia (5%)",BHP,det_1608,
295,COM00599.00,2017,"Zijin Mining Group Co., Ltd. (100%)",,det_1321,
296,COM00602.00,2018,Rio Tinto (100%),,det_1065,
297,COM00603.00,2019,Compania de Minas Buenaventura S.A.A. (100%),Compania de Minas Buenaventura S.A.A.,det_1631,
298,COM00604.00,2007,Kinross Gold (90%),Kinross Gold,det_1056,
299,COM00605.00,2013,Newmont Mining Corporation (100%),,det_1012,
300,COM00607.00,2019,Alcoa Corp. (100%),Alcoa Corp.,det_1270,
301,COM00611.00,2017,"Newmont Mining Corporation (50%), Barrick (50%)",,det_1595,
302,COM00612.00,2019,BHP (100%),BHP,det_1608,
303,COM00614.00,2019,Rusal Plc. (100%),,det_1277,
304,COM00615.00,2020,Terracom Ltd. (70.5%),,det_1546,
305,COM00618.00,2018,First Quantum Minerals Limited (80%),,det_1089,
306,COM00619.00,2019,ArcelorMittal S.A. (100%),,det_1218,
307,COM00622.00,2020,PAO Severstal (100%),PAO Severstal,det_2920,
308,COM00624.00,2019,Glencore plc. (99.5%),,det_2855,
309,COM00625.00,2019,"Vedanta Limited (64.9%), Government of India (29.5%)",Hindustan Zinc Limited,det_1307,
310,COM00626.00,2019,Peabody Energy Corp. (100%),,det_2144,
311,COM00632.00,2019,ArcelorMittal S.A. (100%),,det_1218,
312,COM00634.00,2016,Kinross Gold (100%),Kinross Gold,det_2864,
313,COM00637.00,2019,Rusal Plc. (100%),,det_1277,
314,COM00638.00,2019,"African Rainbow Minerals Ltd. (50%), Assore Ltd. (50%)",Assmang Proprietary Ltd.,det_1265,
315,COM00641.00,2019,Rusal Plc. (100%),,det_1277,
316,COM00642.00,2018,AngloGold Ashanti (45%),,det_1057,
317,COM00642.00,2019,"Barrick Gold Corporation (45%), AngloGold Ashanti (45%), Société Miniére de Kilo-Moto (SOK IMO)(10%)",,det_1024,
318,COM00644.00,2020,PT Indika Energy Tbk. (91%),,det_1514,
319,COM00647.00,2019,Rusal Plc. (100%),,det_1277,
320,COM00648.00,2019,"Jinchuan Group International Resources Co. Ltd (77%), Sodimico (23%)",,det_1449,
321,COM00649.00,2018,MMG (100%),,det_1606,Acquired from Anvil in 2012
322,COM00651.00,2019,Tiger Resources Ltd. (95%),,det_1483,
323,COM00652.00,2019,Luossavaara-Kiirunavaara AB (100%),Luossavaara-Kiirunavaara AB,det_2865,
324,COM00654.00,2018,Rio Tinto (100%),,det_1065,
325,COM00655.00,2019,Agnico Eagle Mines Limited (100%),,det_1632,
326,COM00657.00,2018,Sibanye-Stillwater (100%),,det_1092,
327,COM00662.00,2020,"Zijin Mining Group Co., Ltd. (72%)",,det_2924,
328,COM00664.00,2019,Glencore plc. (49%),,det_2855,
329,COM00666.00,2017,Cleveland-Cliffs Inc. (100%),,det_1235,
330,COM00668.00,2018,AngloGold Ashanti (100%),,det_1057,sold effective 28 February 2018 to
331,COM00675.00,2018,MetInvest B.V. (99.9%),,det_1225,
332,COM00677.00,2019,Rusal Plc. (100%),,det_1277,
333,COM00680.00,2018,Sibanye-Stillwater (50%),,det_1092,
334,COM00681.00,2019,ArcelorMittal S.A. (95.1%),,det_1218,
335,COM00682.00,2019,Rusal Plc. (100%),,det_1277,
336,COM00684.00,2018,Kinross Gold (100%),Kinross Gold,det_1049,
337,COM00690.00,2020,"Zijin Mining Group Co., Ltd. (70%)",,det_1327,
338,COM00694.00,2018,Kinross Gold (100%),Kinross Gold,det_1050,
339,COM00695.00,2019,Pan American Silver Corp. (100%),,det_1380,
340,COM00696.00,2019,Agnico Eagle Mines Limited (100%),,det_1632,
341,COM00697.00,2018,"Altos Hornos de Mexico, S.A.B. de C.V. (100%)",,det_1371,
342,COM00698.00,2013,Newmont Mining Corporation (46.94%),,det_1012,
343,COM00698.00,2019,"Compania de Minas Buenaventura S.A.A. (53.06%), Newmont Holdings ULC (46.94%)",,det_1631,
344,COM00699.00,2019,Minera Barrick Misquichilca S.A. (MBM) (wholly-owned Peruvian subsidiary of Barrick Gold Corporation) (100%),Minera Barrick Misquichilca S.A. (MBM),det_1031,
345,COM00701.00,2018,Hudbay Minerals Inc (100%),,det_2912,
346,COM00702.00,2019,Vedanta Limited (51%),,det_1307,
347,COM00705.00,2018,Agnico Eagle Mines Limited (100%),,det_1348,
348,COM00707.00,2019,Agnico Eagle Mines Limited (100%),,det_1632,
349,COM00708.00,2018,"MMG (62.5%), Guoxin International Investment Co. Ltd (22.5%), CITIC Metal Co. Ltd (15%)",MMG,det_1606,
350,COM00709.00,2019,ArcelorMittal S.A. (100%),,det_1218,
351,COM00710.00,2018,Rio Tinto (100%),,det_1065,
352,COM00713.00,2019,ArcelorMittal S.A. (100%),,det_1218,
353,COM00719.00,2019,BHP (100%),BHP,det_1608,
354,COM00725.00,2018,Newcrest Mining Limited (100%),,det_2907,
